Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes
chipseq,exponential,0.1,40,0,MINMIN,525.02,0, 7, 13, 11, 5, 3, 1, 1, 0, 3, 2, 7, 2, 0, 3, 16, 0, 5, 0, 4, 4, 4, 3, 1, 0, 0, 3,{c5.2xlarge=0; c5.xlarge=7; c5a.2xlarge=13; c5a.xlarge=11; d3.2xlarge=5; d3.xlarge=3; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=2; m5.xlarge=7; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=16; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=4; r5.xlarge=4; r5a.2xlarge=4; r5a.large=3; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=3}
chipseq,exponential,0.1,40,0,MAXMIN,357.38,0, 8, 10, 12, 6, 5, 2, 1, 0, 4, 6, 6, 3, 0, 3, 9, 0, 5, 0, 2, 5, 3, 5, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=10; c5a.xlarge=12; d3.2xlarge=6; d3.xlarge=5; i3.2xlarge=2; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=6; m5.xlarge=6; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=2; r5.xlarge=5; r5a.2xlarge=3; r5a.large=5; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.1,40,0,MCT,353.11999999999995,0, 8, 15, 7, 5, 9, 1, 1, 0, 2, 4, 7, 2, 0, 2, 17, 0, 4, 0, 4, 4, 1, 3, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=8; c5a.2xlarge=15; c5a.xlarge=7; d3.2xlarge=5; d3.xlarge=9; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=4; m5.xlarge=7; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=17; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=4; r5.xlarge=4; r5a.2xlarge=1; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.1,40,0,ROUNDROBIN,561.6999999999999,0, 6, 10, 6, 8, 7, 1, 1, 0, 5, 9, 1, 8, 0, 3, 9, 0, 1, 0, 1, 7, 4, 9, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=10; c5a.xlarge=6; d3.2xlarge=8; d3.xlarge=7; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=5; m5.large=9; m5.xlarge=1; m5a.2xlarge=8; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=7; r5a.2xlarge=4; r5a.large=9; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.1,40,0,STATIC,373.57,0, 4, 14, 10, 7, 4, 0, 1, 0, 3, 7, 5, 2, 0, 3, 17, 0, 4, 0, 1, 4, 2, 5, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=14; c5a.xlarge=10; d3.2xlarge=7; d3.xlarge=4; i3.2xlarge=0; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=7; m5.xlarge=5; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=17; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=1; r5.xlarge=4; r5a.2xlarge=2; r5a.large=5; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.1,40,0,NOML,706.78,0, 9, 13, 8, 2, 3, 1, 3, 0, 4, 4, 7, 7, 0, 6, 7, 0, 2, 0, 3, 4, 6, 4, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=9; c5a.2xlarge=13; c5a.xlarge=8; d3.2xlarge=2; d3.xlarge=3; i3.2xlarge=1; i3.large=3; i3.xlarge=0; m5.2xlarge=4; m5.large=4; m5.xlarge=7; m5a.2xlarge=7; m5a.large=0; m5a.xlarge=6; m5zn.2xlarge=7; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=3; r5.xlarge=4; r5a.2xlarge=6; r5a.large=4; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.1,40,0,CUSTOMCLUSTERNOML,474.14,0, 2, 14, 10, 9, 4, 3, 2, 0, 4, 4, 5, 3, 0, 3, 12, 0, 3, 0, 4, 3, 4, 6, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=14; c5a.xlarge=10; d3.2xlarge=9; d3.xlarge=4; i3.2xlarge=3; i3.large=2; i3.xlarge=0; m5.2xlarge=4; m5.large=4; m5.xlarge=5; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=12; m5zn.large=0; m5zn.xlarge=3; r5.2xlarge=0; r5.large=4; r5.xlarge=3; r5a.2xlarge=4; r5a.large=6; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.1,40,0,TEXTDISTANCE,354.05999999999995,0, 5, 11, 7, 5, 3, 2, 3, 0, 7, 6, 12, 3, 0, 3, 7, 0, 4, 0, 2, 7, 6, 4, 1, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=11; c5a.xlarge=7; d3.2xlarge=5; d3.xlarge=3; i3.2xlarge=2; i3.large=3; i3.xlarge=0; m5.2xlarge=7; m5.large=6; m5.xlarge=12; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=7; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=0; r5.large=2; r5.xlarge=7; r5a.2xlarge=6; r5a.large=4; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.1,40,0,CRITICALPATH,474.82,0, 4, 12, 11, 6, 5, 3, 2, 0, 4, 2, 8, 2, 0, 4, 9, 0, 2, 0, 5, 4, 3, 7, 5, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=12; c5a.xlarge=11; d3.2xlarge=6; d3.xlarge=5; i3.2xlarge=3; i3.large=2; i3.xlarge=0; m5.2xlarge=4; m5.large=2; m5.xlarge=8; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=9; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=0; r5.large=5; r5.xlarge=4; r5a.2xlarge=3; r5a.large=7; r5a.xlarge=5; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.1,40,0,CRITICALPATHREVERSE,409.85,0, 10, 12, 13, 4, 5, 1, 1, 0, 3, 4, 5, 4, 0, 4, 14, 0, 5, 0, 3, 2, 1, 4, 3, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=10; c5a.2xlarge=12; c5a.xlarge=13; d3.2xlarge=4; d3.xlarge=5; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=4; m5.xlarge=5; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=4; m5zn.2xlarge=14; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=3; r5.xlarge=2; r5a.2xlarge=1; r5a.large=4; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
chipseq,exponential,0.1,40,0,RESHIV2,474.04999999999995,0, 4, 12, 10, 6, 4, 1, 1, 0, 4, 8, 10, 2, 0, 3, 11, 0, 5, 0, 4, 4, 3, 4, 2, 0, 0, 0,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=12; c5a.xlarge=10; d3.2xlarge=6; d3.xlarge=4; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=4; m5.large=8; m5.xlarge=10; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=11; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=0; r5.large=4; r5.xlarge=4; r5a.2xlarge=3; r5a.large=4; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=0}
